timestamp,open,high,low,close,volume
2025-01-01T00:00:00,15024.29,15039.310000000001,14955.29,14965.35,13.3
2025-01-01T00:01:00,16974.51,16978.14,16896.73,16911.59,93.39
2025-01-01T00:02:00,15573.29,15591.800000000001,15503.28,15521.820000000002,35.88
2025-01-01T00:03:00,19477.9,19492.95,19411.120000000003,19429.260000000002,11.93
2025-01-01T00:04:00,12354.68,12367.37,12308.77,12319.42,77.3
2025-01-01T00:05:00,11952.09,11964.5,11898.199999999999,11915.24,58.44
2025-01-01T00:06:00,17827.85,17843.75,17745.12,17758.289999999997,12.65
2025-01-01T00:07:00,13299.0,13300.0,13218.300000000001,13234.7,76.81
2025-01-01T00:08:00,19573.48,19592.39,19498.09,19505.91,88.11
2025-01-01T00:09:00,17814.52,17817.16,17717.64,17734.93,51.45
2025-01-01T00:10:00,12489.55,12505.55,12404.56,12420.699999999999,33.31
2025-01-01T00:11:00,14548.29,14567.580000000002,14462.43,14482.17,48.27
2025-01-01T00:12:00,12340.95,12344.08,12291.74,12309.78,11.37
2025-01-01T00:13:00,17611.19,17612.57,17542.55,17543.77,66.25
2025-01-01T00:14:00,17952.48,17963.11,17870.64,17873.86,43.47
2025-01-01T00:15:00,18472.81,18480.190000000002,18410.68,18413.25,31.07
2025-01-01T00:16:00,12052.06,12070.96,11979.6,11981.98,61.51
2025-01-01T00:17:00,18471.02,18481.260000000002,18410.56,18417.79,73.53
2025-01-01T00:18:00,14732.13,14750.859999999999,14680.28,14694.5,50.94
2025-01-01T00:19:00,16662.63,16682.41,16620.170000000002,16620.83,28.75
2025-01-01T00:20:00,12838.32,12854.41,12793.71,12806.699999999999,34.79
2025-01-01T00:21:00,16585.56,16592.27,16550.77,16561.66,63.1
2025-01-01T00:22:00,10782.13,10782.73,10701.75,10721.13,13.56
2025-01-01T00:23:00,17338.01,17351.35,17270.339999999997,17289.039999999997,48.35
2025-01-01T00:24:00,15342.74,15344.96,15291.68,15299.43,86.34
2025-01-01T00:25:00,14861.17,14869.69,14807.8,14824.23,48.33
2025-01-01T00:26:00,12498.25,12507.15,12414.28,12432.02,62.05
2025-01-01T00:27:00,14840.73,14843.31,14793.92,14809.93,73.22
2025-01-01T00:28:00,18089.34,18108.86,18020.75,18039.11,18.45
2025-01-01T00:29:00,13279.25,13297.9,13202.24,13203.68,24.98
2025-01-01T00:30:00,18697.65,18708.2,18669.390000000003,18671.15,71.86
2025-01-01T00:31:00,15956.57,15975.529999999999,15909.94,15913.17,20.16
2025-01-01T00:32:00,15000.18,15007.1,14919.46,14933.81,66.51
2025-01-01T00:33:00,12984.85,12992.37,12939.76,12958.18,16.69
2025-01-01T00:34:00,13277.11,13293.890000000001,13230.970000000001,13249.050000000001,25.57
2025-01-01T00:35:00,14482.87,14483.34,14433.12,14442.08,78.96
2025-01-01T00:36:00,11138.97,11140.619999999999,11072.24,11088.17,68.29
